Label,Lobe,Gyrus,Modified cyto-architectonic (abbr.),Modified cyto-architectonic,module,X(voxel),Y(voxel),Z(voxel),Voxel num(2mm),7network,17network
271,Cerebellum,Cerebellum,Left_VIIIb,,SUIT Cerebellum,-17,-51,-55,700,9,19
272,Cerebellum,Cerebellum,Vermis_VIIIb,,SUIT Cerebellum,0,-63,-41,96,9,19
273,Cerebellum,Cerebellum,Right_VIIIb,,SUIT Cerebellum,18,-51,-55,691,9,19
274,Cerebellum,Cerebellum,Left_IX,,SUIT Cerebellum,-7,-54,-49,565,9,19
275,Cerebellum,Cerebellum,Vermis_IX,,SUIT Cerebellum,0,-56,-38,118,9,19
276,Cerebellum,Cerebellum,Right_IX,,SUIT Cerebellum,7,-54,-50,600,9,19
277,Cerebellum,Cerebellum,Left_X,,SUIT Cerebellum,-21,-37,-45,111,9,19
278,Cerebellum,Cerebellum,Vermis_X,,SUIT Cerebellum,1,-48,-36,65,9,19
279,Cerebellum,Cerebellum,Right_X,,SUIT Cerebellum,22,-38,-45,115,9,19
280,Cerebellum,Cerebellum,Left_Dentate,,SUIT Cerebellum,-15,-60,-35,271,9,19
281,Cerebellum,Cerebellum,Right_Dentate,,SUIT Cerebellum,15,-60,-35,288,9,19
282,Cerebellum,Cerebellum,Left_Interposed,,SUIT Cerebellum,-6,-57,-29,41,9,19
283,Cerebellum,Cerebellum,Right_Interposed,,SUIT Cerebellum,8,-57,-29,42,9,19
