Feature,subject_id,Condition_encoded,Fitted,Residuals
counts_CAP-1,22,1,23.980208136720474,8.019791863279526
counts_CAP-1,24,1,21.478218582279567,-12.478218582279567
counts_CAP-1,26,1,22.262080279587103,1.737919720412897
counts_CAP-1,30,1,22.180277399053733,-8.180277399053733
counts_CAP-1,36,1,21.740128572952514,-2.740128572952514
counts_CAP-1,38,1,26.084146121309846,-1.0841461213098462
counts_CAP-1,46,1,20.387289654761492,3.612710345238508
counts_CAP-1,55,1,22.90579978639311,5.094200213606889
counts_CAP-1,156,1,18.97454249315648,-1.9745424931564806
counts_CAP-1,158,1,22.227983316924604,-2.227983316924604
counts_CAP-1,161,1,23.252811958444408,-2.2528119584444077
counts_CAP-1,170,1,22.590984324331938,-2.590984324331938
counts_CAP-1,174,1,20.24263041497158,-10.242630414971579
counts_CAP-1,181,1,23.143223354224865,7.856776645775135
counts_CAP-1,182,1,23.366734944622568,7.633265055377432
counts_CAP-1,189,1,22.829483355229264,-7.829483355229264
counts_CAP-1,192,1,21.995060072517823,-1.9950600725178234
counts_CAP-1,207,1,22.8804960568137,0.11950394318629876
counts_CAP-1,210,1,22.59991669850614,0.4000833014938614
counts_CAP-1,224,1,22.396624541149464,4.603375458850536
counts_CAP-1,229,1,23.80021962340236,7.199780376597641
counts_CAP-1,230,1,21.91084668728547,-5.910846687285471
counts_CAP-1,249,1,22.14610894993032,-3.146108949930319
counts_CAP-1,272,1,23.006655239136943,-1.0066552391369434
counts_CAP-1,273,1,23.987670198262613,-3.987670198262613
counts_CAP-1,276,1,22.09814074551133,0.9018592544886701
counts_CAP-1,281,1,22.971795389935377,-1.9717953899353766
counts_CAP-1,285,1,23.92212982885684,4.077870171143161
counts_CAP-1,287,1,22.306859996480792,0.6931400035192077
counts_CAP-1,297,1,24.425755120183776,2.5742448798162236
counts_CAP-1,334,1,24.771752402590078,6.228247597409922
counts_CAP-1,339,1,21.86986761394407,-8.86986761394407
counts_CAP-1,341,1,22.0993676382972,-9.099367638297199
