Metric,Feature,Analysis_Type,N,beta,t_value,p_value,p_FDR
counts,CAP-1,Cross-sectional,456,-1.6761776916895572,-2.4113680490562794,0.016292389915060664,0.03753354943111344
counts,CAP-3,Cross-sectional,456,-1.0962630464381486,-2.171614420836672,0.030406449330584336,0.04256902906281807
counts,CAP-4,Cross-sectional,456,1.7415245026789363,3.0975634317140264,0.002073264000066803,0.01451284800046762
counts,CAP-5,Cross-sectional,456,1.6812998854675951,2.7572420205236394,0.00606624100694456,0.021231843524305963
counts,CAP-7,Cross-sectional,456,-1.4315225113907792,-2.308072722758396,0.02144774253206482,0.03753354943111344
temporal_fraction,CAP-1,Cross-sectional,456,-0.010470234409955172,-2.1566448205074513,0.03156237928524097,0.04418733099933736
temporal_fraction,CAP-3,Cross-sectional,456,-0.010045388623867942,-2.501021685595569,0.012737959122439716,0.022291428464269503
temporal_fraction,CAP-4,Cross-sectional,456,0.019747081671282585,4.141091459490552,4.128612718620504e-05,0.0002890028903034353
temporal_fraction,CAP-5,Cross-sectional,456,0.01862063933638282,3.757836795551751,0.00019394085743644962,0.0006787930010275737
temporal_fraction,CAP-7,Cross-sectional,456,-0.012530939585995214,-2.929066157157971,0.0035725193779496556,0.008335878548549197
transition_probability,1.5,Cross-sectional,456,0.013343931880640283,3.2240899967453625,0.001355684199806621,0.01694605249758276
transition_probability,1.7,Cross-sectional,456,-0.01511570333933779,-3.7830036110390646,0.00017588184153212767,0.004054617931807303
transition_probability,2.1,Cross-sectional,456,-0.011754909691978965,-3.1135214467025842,0.001966608245604028,0.019666082456040276
transition_probability,2.4,Cross-sectional,456,0.013570035721812153,3.6989316453250134,0.00024327707590843817,0.004054617931807303
transition_probability,3.4,Cross-sectional,456,0.013295933842771194,3.8093460991986157,0.00015868553083664327,0.004054617931807303
transition_probability,4.1,Cross-sectional,456,-0.010778576541003282,-2.914571681264511,0.0037394060179877942,0.031161716816564954
transition_probability,6.7,Cross-sectional,456,-0.0020289403261475525,-2.8382782069692216,0.004740911403086772,0.03386365287919122
counts,CAP-4,Longitudinal,436,1.7789295368344922,3.8166522219312875,0.0001352746312010731,0.0004734612092037559
counts,CAP-5,Longitudinal,436,1.8999856293872337,3.8551039158661764,0.00011568048133352031,0.0004734612092037559
counts,CAP-6,Longitudinal,436,-1.4647472076385515,-3.1511317374663523,0.0016263911534939606,0.003794912691485908
persistence,CAP-6,Longitudinal,436,-0.19817987381996965,-3.721161053103742,0.0001983089085811847,0.001388162360068293
persistence,CAP-7,Longitudinal,436,-0.16505368684247626,-3.2478946983317725,0.001162622890088608,0.004069180115310128
temporal_fraction,CAP-4,Longitudinal,436,0.018486051129592375,5.13025779297409,2.8934564338478907e-07,1.0127097518467619e-06
temporal_fraction,CAP-5,Longitudinal,436,0.017259298819872936,4.752782980337052,2.0063566973150597e-06,3.5111242203013548e-06
temporal_fraction,CAP-6,Longitudinal,436,-0.018082909769911254,-5.751198649025013,8.86129193452942e-09,6.202904354170595e-08
temporal_fraction,CAP-7,Longitudinal,436,-0.017231735693739633,-4.885792860593559,1.0301345752802909e-06,2.4036473423206788e-06
transition_probability,1.5,Longitudinal,436,0.009088682588929104,2.7017356878544945,0.006897857276383306,0.049167920914296274
transition_probability,1.6,Longitudinal,436,-0.010899371924795523,-2.990472905898169,0.0027854583886620624,0.027854583886620623
transition_probability,2.5,Longitudinal,436,0.014336587112996018,3.5578082285350563,0.00037396216513995237,0.00633228256464046
transition_probability,2.7,Longitudinal,436,-0.011967278448070995,-3.59733072359377,0.00032149959293808675,0.00633228256464046
transition_probability,3.4,Longitudinal,436,0.00846494086461593,2.65773092934867,0.007866867346287405,0.049167920914296274
transition_probability,6.4,Longitudinal,436,0.012798518891665694,2.9051406299777263,0.003670881251697841,0.03059067709748201
transition_probability,6.6,Longitudinal,436,-0.030275327007064475,-3.4641782720181236,0.0005318539165018161,0.0066481739562727
transition_probability,7.4,Longitudinal,436,0.011460580518529166,3.5536413558909343,0.00037993695387842757,0.00633228256464046
