,CAP-1,CAP-2,CAP-3,CAP-4,CAP-5,CAP-6,CAP-7
CAP-1,1.0,-0.2101219133172258,-0.47094511583002796,0.188700467261561,-0.2708291686147083,0.09238893434819738,-0.1625714486776533
CAP-2,-0.2101219133172258,1.0,-0.7388687780427156,-0.04726557864858818,0.1258843129090454,0.0944253223372891,-0.1278009457234877
CAP-3,-0.47094511583002796,-0.7388687780427156,1.0,-0.13207746327824152,0.10431514678995071,0.022374316356062688,0.04593860910945272
CAP-4,0.188700467261561,-0.04726557864858818,-0.13207746327824152,1.0,-0.9912537956142747,0.139462438647971,-0.10472629273854415
CAP-5,-0.2708291686147083,0.1258843129090454,0.10431514678995071,-0.9912537956142747,1.0,-0.19448687464970696,0.1594564765207638
CAP-6,0.09238893434819738,0.0944253223372891,0.022374316356062688,0.139462438647971,-0.19448687464970696,1.0,-0.9894123574847501
CAP-7,-0.1625714486776533,-0.1278009457234877,0.04593860910945272,-0.10472629273854415,0.1594564765207638,-0.9894123574847501,1.0
