Group,CAP,A8m_l,A8m_r,A8dl_l,A8dl_r,A9l_l,A9l_r,A6dl_l,A6dl_r,A6m_l,A6m_r,A9m_l,A9m_r,A10m_l,A10m_r,A9/46d_l,A9/46d_r,IFJ_l,IFJ_r,A46_l,A46_r,A9/46v_l,A9/46v_r,A8vl_l,A8vl_r,A6vl_l,A6vl_r,A10l_l,A10l_r,A44d_l,A44d_r,IFS_l,IFS_r,A45c_l,A45c_r,A45r_l,A45r_r,A44op_l,A44op_r,A44v_l,A44v_r,A14m_l,A14m_r,A12//47o_l,A12\/47o_r,A11l_l,A11l_r,A11m_l,A11m_r,A13_l,A13_r,A12/47l_l,A12/47l_r,A4hf_l,A4hf_r,A6cdl_l,A6cdl_r,A4ul_l,A4ul_r,A4t_l,A4t_r,A4tl_l,A4tl_r,A6cvl_l,A6cvl_r,A1/2/3ll_l,A1/2/3ll_r,A4ll_l,A4ll_r,A38m_l,A38m_r,A41/42_l,A41/42_r,TE1.0/TE1.2_l,TE1.0/TE1.2_r,A22c_l,A22c_r,A38l_l,A38l_r,A22r_l,A22r_r,A21c_l,A21c_r,A21r_l,A21r_r,A37dl_l,A37dl_r,aSTS_l,aSTS_r,A20iv_l,A20iv_r,A37elv_l,A37elv_r,A20r_l,A20r_r,A20il_l,A20il_r,A37vl_l,A37vl_r,A20cl_l,A20cl_r,A20cv_l,A20cv_r,A20rv_l,A20rv_r,A37mv_l,A37mv_r,A37lv_l,A37lv_r,A35/36r_l,A35/36r_r,A35/36c_l,A35/36c_r,TL_l,TL_r,A28/34_l,A28/34_r,TI_l,TI_r,TH_l,TH_r,rpSTS_l,rpSTS_r,cpSTS_l,cpSTS_r,A7r_l,A7r_r,A7c_l,A7c_r,A5l_l,A5l_r,A7pc_l,A7pc_r,A7ip_l,A7ip_r,A39c_l,A39c_r,A39rd_l,A39rd_r,A40rd_l,A40rd_r,A40c_l,A40c_r,A39rv_l,A39rv_r,A40rv_l,A40rv_r,A7m_l,A7m_r,A5m_l,A5m_r,dmPOS_l,dmPOS_r,A31_l,A31_r,A1/2/3ulhf_l,A1/2/3ulhf_r,A1/2/3tonIa_l,A1/2/3tonIa_r,A2_l,A2_r,A1/2/3tru_l,A1/2/3tru_r,G_l,G_r,vIa_l,vIa_r,dIa_l,dIa_r,vId/vIg_l,vId/vIg_r,dIg_l,dIg_r,dId_l,dId_r,A23d_l,A23d_r,A24rv_l,A24rv_r,A32p_l,A32p_r,A23v_l,A23v_r,A24cd_l,A24cd_r,A23c_l,A23c_r,A32sg_l,A32sg_r,cLinG_l,cLinG_r,rCunG_l,rCunG_r,cCunG_l,cCunG_r,rLinG_l,rLinG_r,vmPOS_l,vmPOS_r,mOccG_l,mOccG_r,V5/MT/plus_l,V5/MT/plus_r,OPC_l,OPC_r,iOccG_l,iOccG_r,msOccG_l,msOccG_r,lsOccG_l,lsOccG_r,mAmyg_l,mAmyg_r,lAmyg_l,lAmyg_r,rHipp_l,rHipp_r,cHipp_l,cHipp_r,mPFtha_l,mPFtha_r,mPMtha_l,mPMtha_r,Stha_l,Stha_r,rTtha_l,rTtha_r,PPtha_l,PPtha_r,Otha_l,Otha_r,cTtha_l,cTtha_r,lPFtha_l,lPFtha_r,Pu_l,Pu_r,Ca_l,Ca_r,NAC_l,NAC_r,Gpe_l,Gpe_r,Gpi_l,Gpi_r,SN_l,SN_r,RN_l,RN_r,VTA_l,VTA_r,STH_l,STH_r,Left_I_IV,Right_I_IV,Left_V,Right_V,Left_VI,Vermis_VI,Right_VI,Left_CrusI,Right_CrusI,Left_CrusII,Vermis_CrusII,Right_CrusII,Left_VIIb,Vermis_VIIb,Right_VIIb,Left_VIIIa,Vermis_VIIIa,Right_VIIIa,Left_VIIIb,Vermis_VIIIb,Right_VIIIb,Left_IX,Vermis_IX,Right_IX,Left_X,Vermis_X,Right_X,Left_Dentate,Right_Dentate,Left_Interposed,Right_Interposed
All Subjects,CAP-1,0.039418209344148636,-0.2815719544887543,-0.1445143073797226,-0.4315168559551239,0.19310644268989563,-0.07469585537910461,0.031125051900744438,-0.2783071994781494,0.2783541977405548,0.13679754734039307,-0.07619874179363251,-0.3628014624118805,0.0897984728217125,-0.061426158994436264,-0.3970329165458679,-0.6365938186645508,0.09737244248390198,-0.2221234291791916,-0.34110310673713684,-0.5965322256088257,-0.23868493735790253,-0.4670434296131134,-0.19559665024280548,-0.4478537440299988,-0.06078348681330681,-0.4506186544895172,-1.876825263025239e-05,-0.2979927062988281,0.18556872010231018,-0.07738708704710007,0.1865110546350479,-0.11329351365566254,0.3533723056316376,-0.06814104318618774,0.2912066578865051,-0.05042716860771179,0.03310523182153702,-0.27639341354370117,0.10139492154121399,-0.2070992887020111,0.1826358139514923,-0.1243615448474884,0.23585595190525055,0.008685676380991936,-0.06255006045103073,-0.13701790571212769,0.35745513439178467,0.23933513462543488,0.3054907023906708,0.24496646225452423,0.2215827852487564,-0.1621149778366089,0.5548237562179565,0.4624006748199463,0.4060879349708557,0.2528708279132843,0.3697749674320221,0.4279903769493103,0.2572050392627716,0.25105446577072144,0.18694569170475006,0.12057600170373917,0.2427549511194229,0.06688357144594193,0.2301701009273529,0.1461288183927536,0.2977640926837921,0.28128913044929504,0.5024670958518982,0.3812556862831116,0.300367146730423,0.1497911810874939,0.2725544571876526,0.22184227406978607,0.5142105221748352,0.3587974011898041,0.43534278869628906,0.4074326753616333,0.5322401523590088,0.43201589584350586,0.17345595359802246,-0.1509535163640976,0.39166519045829773,0.26267877221107483,0.3485240638256073,0.12857761979103088,0.3130424916744232,0.10812759399414062,0.14386095106601715,0.1940145492553711,0.07019857317209244,-0.04652334377169609,0.4210506081581116,0.32610073685646057,0.19346728920936584,0.09394200146198273,0.12041373550891876,0.12856163084506989,-0.008111303672194481,-0.1983601152896881,-0.031435538083314896,-0.14138281345367432,0.32532718777656555,0.29009300470352173,0.3538214862346649,0.3860957622528076,0.3275219798088074,0.296057790517807,0.22003071010112762,0.15331383049488068,-0.13595959544181824,-0.07611802965402603,0.056436024606227875,0.10068001598119736,-0.02199086919426918,0.00459822453558445,0.2268228977918625,0.10475748032331467,0.09724221378564835,0.10814177244901657,0.495263934135437,0.2608894109725952,0.3454320430755615,0.19898051023483276,0.12891556322574615,0.23080456256866455,-0.053844425827264786,-0.049652278423309326,0.30451700091362,0.3506563603878021,0.33628055453300476,0.3319072127342224,0.32968389987945557,0.23426881432533264,-0.022126443684101105,0.05424398556351662,-0.15695273876190186,-0.37972697615623474,0.1817663460969925,0.025887416675686836,-0.21332544088363647,-0.5232377052307129,0.08225744217634201,-0.23076333105564117,0.1281665861606598,0.08475352823734283,-0.4133850634098053,-0.4360862970352173,-0.1282183825969696,-0.1792939305305481,-0.2889742851257324,-0.2901093363761902,-0.1299969106912613,-0.3154771625995636,0.6218026280403137,0.5844867825508118,0.42859238386154175,0.3909234404563904,0.5623626112937927,0.5844188928604126,0.3553914725780487,0.3108523190021515,0.12090668082237244,0.07987874001264572,-0.05394347012042999,-0.13291612267494202,-0.24079886078834534,-0.31185096502304077,-0.002858530031517148,-0.015196203254163265,0.25814709067344666,0.2759271264076233,-0.04526468366384506,-0.06264457106590271,-0.1748163104057312,-0.40717917680740356,-0.27555200457572937,-0.22918838262557983,-0.3827633857727051,-0.5952433347702026,-0.07765237241983414,-0.17455779016017914,-0.18154633045196533,-0.20334261655807495,-0.19384095072746277,-0.43479132652282715,-0.17537693679332733,-0.3650089204311371,0.20977677404880524,0.07802165299654007,0.3220826983451843,0.2782796025276184,0.18922507762908936,0.23324932157993317,0.4417196810245514,0.4520739018917084,0.3251427412033081,0.28048592805862427,0.4324832856655121,0.4635985791683197,0.4913337528705597,0.5076711177825928,0.26712051033973694,0.2653779983520508,0.27239736914634705,0.2538610100746155,0.33444997668266296,0.3323681354522705,0.2743566036224365,0.21745911240577698,0.3316797614097595,0.3507174551486969,0.25686711072921753,0.2735134959220886,0.2795206606388092,0.20800018310546875,0.07804039865732193,0.08844851702451706,-0.39909860491752625,-0.49197110533714294,-0.12318574637174606,-0.13371898233890533,0.051755525171756744,0.09144279360771179,-0.5675414800643921,-0.5332679152488708,-0.14787250757217407,-0.23888228833675385,-0.18678992986679077,-0.46851813793182373,-0.5485516786575317,-0.5663601160049438,-0.18077240884304047,-0.3140682280063629,-0.08942999690771103,-0.18112601339817047,-0.4355175495147705,-0.4631813168525696,-0.010563531890511513,0.061270564794540405,-0.056570496410131454,-0.1053352802991867,-0.09619669616222382,-0.08739502727985382,-0.14937838912010193,-0.17710065841674805,-0.0737486258149147,-0.09608647227287292,-0.10682545602321625,-0.06698225438594818,-0.036481697112321854,-0.06754899024963379,-0.3407372236251831,-0.3513091504573822,-0.34983187913894653,-0.34601399302482605,-0.6181320548057556,-0.35409268736839294,-0.43937981128692627,-0.6636877059936523,-0.43088042736053467,-0.5943652391433716,-0.1567234843969345,-0.2821754515171051,-0.38765424489974976,-0.12095403671264648,-0.25324469804763794,-0.18336829543113708,-0.2667131721973419,-0.19461295008659363,-0.22241070866584778,-0.20343618094921112,-0.2218727022409439,-0.5154693722724915,-0.23230485618114471,-0.36766934394836426,-0.39774832129478455,-0.2521401047706604,-0.43057191371917725,-0.21144719421863556,-0.18822437524795532,-0.08821450173854828,-0.07383304834365845
All Subjects,CAP-2,-0.2808103561401367,-0.06359505653381348,0.04617556929588318,0.19310231506824493,0.05649615079164505,0.16087499260902405,-0.15009739995002747,-0.03617741912603378,-0.043966710567474365,0.046121321618556976,-0.17744101583957672,0.07549476623535156,0.28461310267448425,0.3948628008365631,0.21372090280056,0.261924684047699,-0.47567543387413025,-0.24082165956497192,-0.024371718987822533,0.16669878363609314,-0.5145829916000366,-0.31388840079307556,-0.20418846607208252,-0.23007237911224365,-0.39993610978126526,-0.21702617406845093,-0.1777726411819458,-0.0311049222946167,-0.5692742466926575,-0.33763349056243896,-0.546619176864624,-0.2882305681705475,-0.36516183614730835,-0.2298317551612854,-0.44883430004119873,-0.21255052089691162,-0.1854202151298523,-0.023169435560703278,-0.4563751220703125,-0.3448450267314911,0.309608519077301,0.5208797454833984,-0.19904299080371857,-0.1685827225446701,-0.16778096556663513,-0.11543817818164825,-0.07183980941772461,0.065740205347538,0.12154407054185867,0.08065497875213623,-0.3741961121559143,-0.17616140842437744,-0.09413998574018478,-0.023870257660746574,-0.27308833599090576,-0.17196571826934814,0.1022414043545723,0.06758324801921844,0.13429167866706848,0.17927785217761993,0.07425738871097565,0.09753105044364929,-0.6052015423774719,-0.40057283639907837,0.32351890206336975,0.35381779074668884,0.22750058770179749,0.26439276337623596,0.017101474106311798,0.09165667742490768,0.18104518949985504,0.24767212569713593,0.20501764118671417,0.1764560043811798,-0.05392671003937721,0.11600171029567719,-0.002152611967176199,0.08498553931713104,0.0758250504732132,0.07486440241336823,-0.210423544049263,-0.14274120330810547,0.010236839763820171,0.12256410717964172,-0.22648318111896515,-0.04046207293868065,-0.0013418869348242879,0.18706364929676056,-0.11040601879358292,-0.07422671467065811,-0.26873672008514404,-0.09401029348373413,-0.12255194038152695,-0.06789238750934601,-0.14520128071308136,-0.040817633271217346,-0.3510686159133911,-0.20651470124721527,-0.35134121775627136,-0.2938157320022583,-0.18407279253005981,-0.06818079948425293,0.03113631345331669,0.047171592712402344,0.18052266538143158,0.16687139868736267,-0.04222497716546059,0.10415008664131165,-0.023558881133794785,0.038696661591529846,0.25106555223464966,0.2101239264011383,0.3196316659450531,0.29886406660079956,0.11256453394889832,0.09458140283823013,0.015747031196951866,0.06897378712892532,0.3774682283401489,0.3312283158302307,-0.17046524584293365,-0.020410804077982903,-0.06534411758184433,0.10821213573217392,-0.032465074211359024,-0.010960657149553299,-0.16692911088466644,-0.13907833397388458,-0.37167373299598694,-0.20201532542705536,0.09268402308225632,0.15851983428001404,-0.3212362229824066,-0.31167423725128174,-0.01002130564302206,0.25712692737579346,-0.453029990196228,-0.20564758777618408,-0.4676024317741394,-0.4195633828639984,-0.42965152859687805,-0.20217101275920868,0.08463969081640244,0.25071603059768677,0.023152360692620277,0.04527333378791809,0.34054043889045715,0.3598834276199341,0.463791161775589,0.4635438919067383,0.5404471158981323,0.5752909779548645,0.44486138224601746,0.5517955422401428,0.05273738130927086,0.08386853337287903,0.06872591376304626,0.10700216144323349,-0.08242902904748917,-0.050507888197898865,0.23721499741077423,0.26496973633766174,0.28400683403015137,0.2757916748523712,0.18213483691215515,0.2088121622800827,-0.18023844063282013,-0.07996474206447601,0.17245028913021088,0.17851077020168304,0.02510843425989151,0.10199619084596634,0.017253054305911064,0.04087366536259651,0.37316635251045227,0.46243467926979065,0.24922016263008118,0.4230951964855194,0.4621947705745697,0.44751906394958496,0.6098254919052124,0.6734994053840637,0.290554940700531,0.3013803958892822,0.4339675307273865,0.522629976272583,0.5307234525680542,0.5136114954948425,0.16687270998954773,0.18548837304115295,0.22901703417301178,0.2647932469844818,0.17781095206737518,0.20877322554588318,0.2200845330953598,0.21250206232070923,0.31768444180488586,0.37268421053886414,0.10410124063491821,0.08050476014614105,0.0964663103222847,0.07997481524944305,0.13459648191928864,0.1294780671596527,0.14663167297840118,0.13199296593666077,0.2027008831501007,0.19729270040988922,-0.03765061870217323,-0.06079825013875961,0.012812559492886066,0.03874813765287399,-0.006812767591327429,0.042623333632946014,0.24325749278068542,0.2787683308124542,0.19592790305614471,0.25771987438201904,0.2895253002643585,0.3561144769191742,0.026132898405194283,0.14443621039390564,0.08477973937988281,0.10193643718957901,0.33944740891456604,0.33963537216186523,0.20206302404403687,0.2949605882167816,0.20231346786022186,0.30763161182403564,0.3172912895679474,0.26739078760147095,0.17876747250556946,0.2629077732563019,0.12343958020210266,0.18323999643325806,0.1817735880613327,0.1993613839149475,0.16620616614818573,0.15592676401138306,0.05803017318248749,0.07312733680009842,0.05015954375267029,0.04143313691020012,0.03717105835676193,0.07472411543130875,0.039537981152534485,0.06102475896477699,0.07437489181756973,0.08437269181013107,0.038845907896757126,0.06358697265386581,0.25495004653930664,0.2629334628582001,0.2581385672092438,0.25088876485824585,0.07837842404842377,0.16522060334682465,-0.02620941773056984,0.10767842829227448,-0.01854724809527397,0.052308931946754456,0.16722795367240906,-0.10880310833454132,-0.057356350123882294,0.1419161558151245,-0.15283052623271942,0.1147613376379013,0.30433982610702515,0.0982728898525238,0.24471218883991241,0.23218785226345062,0.2579987049102783,0.33871588110923767,0.21105578541755676,0.2712467610836029,0.2548636794090271,0.18428997695446014,0.24638909101486206,0.06797123700380325,0.06563424319028854,0.03798622265458107,0.038418859243392944
All Subjects,CAP-3,0.24618519842624664,0.12647226452827454,0.0571155846118927,0.08746226131916046,-0.2084459811449051,-0.17027302086353302,0.09827253967523575,0.15085545182228088,-0.20783840119838715,-0.25173279643058777,0.18197154998779297,0.08140302449464798,-0.388709157705307,-0.41793885827064514,-0.015461697243154049,0.10392620414495468,0.4470614790916443,0.3489474356174469,0.25067660212516785,0.16255809366703033,0.6823000907897949,0.5890425443649292,0.364845871925354,0.5309180021286011,0.5051061511039734,0.5483672618865967,0.18179041147232056,0.21276383101940155,0.46607720851898193,0.3371668756008148,0.4156542122364044,0.31085464358329773,0.10287728160619736,0.15906627476215363,0.22966977953910828,0.10324109345674515,0.06096133217215538,0.03797377273440361,0.32503536343574524,0.3733419179916382,-0.453125536441803,-0.47776955366134644,-0.004118079785257578,0.10087595880031586,0.15044550597667694,0.1242445781826973,-0.20199650526046753,-0.2582787275314331,-0.3888430595397949,-0.3059236407279968,0.17760512232780457,0.1675398349761963,-0.2542341947555542,-0.28054648637771606,0.01632755622267723,-0.022634385153651237,-0.3210664689540863,-0.3218151330947876,-0.2863317131996155,-0.3339620530605316,-0.3135482370853424,-0.3021906912326813,0.4585857093334198,0.3109568655490875,-0.45945897698402405,-0.4754227101802826,-0.42186886072158813,-0.44120630621910095,-0.4008967876434326,-0.3920801281929016,-0.3759254515171051,-0.365544855594635,-0.41292184591293335,-0.37081271409988403,-0.2822883427143097,-0.3300655484199524,-0.33284643292427063,-0.3887474238872528,-0.43528974056243896,-0.3455156683921814,0.1106470599770546,0.25828227400779724,-0.2943890392780304,-0.3423660099506378,-0.044898707419633865,-0.08428973704576492,-0.2203538715839386,-0.2992551922798157,0.006301845423877239,-0.10088718682527542,0.29519346356391907,0.18220101296901703,-0.201194167137146,-0.19443108141422272,-0.010284307412803173,-0.05403155833482742,0.2959218919277191,0.163329616189003,0.41293588280677795,0.4817267954349518,0.19134879112243652,0.16536308825016022,-0.2793324291706085,-0.26619285345077515,-0.3453158140182495,-0.34822022914886475,-0.11625699698925018,-0.24064618349075317,-0.1732899695634842,-0.17120234668254852,-0.16107957065105438,-0.14244188368320465,-0.34848034381866455,-0.33906304836273193,-0.11887788772583008,-0.1164744645357132,-0.19013996422290802,-0.1810351461172104,-0.41339582204818726,-0.38560518622398376,-0.1483079493045807,-0.1955089122056961,-0.19000805914402008,-0.2954126000404358,-0.01238977164030075,-0.10439364612102509,0.2882553040981293,0.24385914206504822,0.2084207981824875,-0.006801661569625139,-0.32785433530807495,-0.37922829389572144,0.18279261887073517,0.21970738470554352,0.09898275136947632,-0.26441019773483276,0.6215961575508118,0.5248275399208069,0.3574698269367218,0.4253292679786682,0.5008544325828552,0.44130784273147583,-0.13830485939979553,-0.13479170203208923,-0.21426939964294434,-0.2239656299352646,-0.05083038657903671,-0.05701442435383797,-0.42692339420318604,-0.380123496055603,-0.3378015458583832,-0.37510424852371216,-0.3624149560928345,-0.35374170541763306,-0.39912644028663635,-0.4074512720108032,-0.38494741916656494,-0.40290719270706177,-0.2431163489818573,-0.28938665986061096,-0.43651774525642395,-0.43143603205680847,-0.43928763270378113,-0.4027993083000183,-0.26124364137649536,-0.2201535552740097,0.23127581179141998,0.16901089251041412,-0.2998427152633667,-0.3104723393917084,-0.25819718837738037,-0.34225332736968994,-0.13422425091266632,-0.15042966604232788,-0.2687932848930359,-0.21616894006729126,-0.16323766112327576,-0.38352349400520325,-0.32169994711875916,-0.19001197814941406,-0.5205682516098022,-0.5370790362358093,-0.32974711060523987,-0.3219678997993469,-0.4342285394668579,-0.3802691698074341,-0.46980881690979004,-0.34893539547920227,-0.21909235417842865,-0.14712460339069366,-0.35469838976860046,-0.3705000877380371,-0.21962283551692963,-0.2869817018508911,-0.43309688568115234,-0.43055832386016846,-0.4502972960472107,-0.4806445240974426,-0.3117854595184326,-0.31461745500564575,-0.352152943611145,-0.3435758352279663,-0.21480056643486023,-0.20379605889320374,-0.22164671123027802,-0.19482702016830444,-0.34803545475006104,-0.3463805019855499,-0.04682782664895058,0.016128413379192352,-0.26941391825675964,-0.30193138122558594,-0.17720578610897064,-0.24556410312652588,-0.4241723120212555,-0.4108418822288513,-0.24590526521205902,-0.3153967559337616,-0.12452545762062073,-0.13993479311466217,0.013312642462551594,-0.12807202339172363,-0.12081959843635559,-0.1646251380443573,-0.031211217865347862,-0.05792873352766037,-0.14576531946659088,-0.18954704701900482,-0.10547344386577606,-0.02687772363424301,0.0034577015321701765,0.04740309715270996,-0.1398562788963318,-0.14460571110248566,-0.15113615989685059,-0.1609755903482437,0.05396363139152527,0.06545690447092056,-0.2012704610824585,-0.2342078983783722,-0.05493874475359917,-0.04417736083269119,-0.015519059263169765,-0.012882327660918236,0.04203092306852341,0.015937475487589836,-0.0007108201971277595,-0.023328397423028946,-0.03023121878504753,-0.049231190234422684,-0.04831847548484802,-0.0500386506319046,-0.04755941405892372,-0.051800332963466644,-0.042199019342660904,-0.04011612385511398,0.3062305450439453,0.07957015186548233,0.3323560059070587,0.3398790657520294,0.34443557262420654,0.3378069996833801,-0.04499267786741257,0.3462539613246918,0.30237308144569397,-0.05397151783108711,0.36874279379844666,-0.006380545441061258,-0.11649766564369202,0.045538149774074554,-0.10167242586612701,-0.08631792664527893,-0.11505318433046341,-0.002592911012470722,-0.04281774163246155,0.0006517321453429759,0.02511315606534481,-0.02960856631398201,0.042987074702978134,0.0364716462790966,0.04642361402511597,0.024126296862959862,0.01855301298201084
All Subjects,CAP-4,-0.1731080412864685,0.2864689528942108,-0.8784182667732239,-0.7681655883789062,-0.9649638533592224,-0.9525724649429321,0.6635004878044128,0.7215391397476196,0.8763803243637085,1.086389183998108,-0.7656530141830444,-0.6748509407043457,-0.8703985214233398,-0.8388507962226868,0.12252959609031677,0.09400402009487152,-0.65689617395401,-0.4418347179889679,-0.4073350131511688,-0.12210999429225922,0.08138290047645569,0.3136909008026123,-0.9184834361076355,-0.6450774669647217,-0.4495406448841095,-0.17777405679225922,-0.7508713006973267,-0.6522892117500305,-0.10227091610431671,0.08435618132352829,-0.17562437057495117,0.21946461498737335,-0.491108775138855,-0.1282404363155365,-0.5501332879066467,-0.06214570626616478,0.3238041400909424,0.6451910138130188,0.3122185468673706,0.6522808074951172,-0.8322839736938477,-0.7878946661949158,-0.6747079491615295,-0.7497091293334961,-0.1078651174902916,-0.26382559537887573,-0.6680291891098022,-0.7259364128112793,-0.47339126467704773,-0.47741973400115967,-0.6550273895263672,-0.40184590220451355,0.5214414000511169,0.5421249270439148,0.6070390939712524,0.8534773588180542,0.4294796288013458,0.48967525362968445,0.54022216796875,0.6064278483390808,1.0165046453475952,1.031104564666748,0.3580462336540222,0.6747795939445496,0.4827735722064972,0.8452183604240417,0.5030249357223511,0.5628061294555664,-0.399651437997818,-0.28386715054512024,0.5194499492645264,0.4619903266429901,0.5525168776512146,0.6463706493377686,0.01476534828543663,0.30860450863838196,-0.13316936790943146,-0.18273542821407318,-0.30699700117111206,-0.10084334760904312,-1.0292798280715942,-0.8982157111167908,-0.9540337324142456,-0.9095954298973083,0.012174693867564201,0.17699290812015533,-0.9819011092185974,-0.7791727781295776,0.027408141642808914,0.024907177314162254,0.09033122658729553,0.08317440003156662,-0.17102953791618347,-0.022181404754519463,-0.8014265894889832,-0.5906455516815186,0.26833575963974,0.4638383686542511,-0.6691796183586121,-0.33246880769729614,-0.2494676262140274,-0.057291507720947266,0.03527667373418808,0.09629208594560623,0.18336625397205353,0.19389203190803528,0.22929036617279053,0.20339375734329224,-0.007661205716431141,-0.026473814621567726,-0.05331017076969147,-0.028689755126833916,-0.3221978545188904,-0.20965364575386047,-0.1960972100496292,-0.14043189585208893,-0.030343348160386086,-0.026095205917954445,-0.11142151057720184,-0.07655433565378189,-0.3131084144115448,-0.15837818384170532,0.0315549336373806,0.2715286314487457,0.6650340557098389,0.7634748220443726,0.27627506852149963,0.4329342246055603,0.6680203676223755,0.7632121443748474,0.8840134739875793,0.8011668920516968,0.3912762403488159,0.46793603897094727,-0.32337766885757446,-0.121601901948452,-0.7085325121879578,-0.5875676274299622,0.7155564427375793,0.7208142876625061,-0.2394150197505951,0.1991351693868637,-1.0859676599502563,-0.8818455934524536,1.112131953239441,1.1808526515960693,-0.31605786085128784,-0.04390106722712517,0.6059437990188599,0.6770479679107666,-0.46936899423599243,-0.2716047763824463,-1.0075539350509644,-0.8966781497001648,0.39618611335754395,0.39614295959472656,0.7280650734901428,0.7606781125068665,0.4267464578151703,0.46957898139953613,0.612027108669281,0.5879884362220764,0.636302649974823,0.6125709414482117,-0.12545423209667206,0.012519724667072296,0.6518358588218689,0.712509036064148,0.7906838655471802,0.8485589623451233,0.584230899810791,0.6161441206932068,0.9333512783050537,0.995532214641571,-1.015641450881958,-0.8460533022880554,0.08975758403539658,-0.0048400238156318665,-0.2026282399892807,0.3698587119579315,-0.6281397938728333,-0.594379723072052,0.9899848103523254,1.0275599956512451,0.46021661162376404,0.5170027017593384,-0.638455867767334,-0.5693479180335999,-0.0011310523841530085,-0.08244651556015015,0.13916052877902985,0.08051980286836624,-0.008474647998809814,0.04567216709256172,0.21152862906455994,0.20501016080379486,0.12603040039539337,0.06844703108072281,0.19831150770187378,0.1614006608724594,0.24199774861335754,0.21556319296360016,-0.0014672253746539354,-0.02753247134387493,0.042588964104652405,0.012397951446473598,0.20284990966320038,0.21357877552509308,0.1941390186548233,0.1891784965991974,-0.03013099730014801,-0.07420801371335983,0.002868986688554287,-0.012184864841401577,-0.3942551910877228,-0.3571684658527374,-0.23711222410202026,-0.20035730302333832,0.015912078320980072,0.055206310003995895,0.08941520750522614,0.23266974091529846,0.14227980375289917,0.18750908970832825,-0.03896944224834442,0.02858727239072323,0.17774558067321777,0.07106401026248932,-0.09495529532432556,-0.11759468913078308,-0.12100804597139359,0.014528714120388031,0.24674469232559204,0.29711923003196716,0.3509003520011902,0.3882584869861603,-0.011517695151269436,-0.056781698018312454,0.031081851571798325,-0.00426320219412446,0.12068763375282288,0.10583291947841644,0.08748521655797958,0.05340981110930443,-0.031133983284235,0.014855783432722092,0.020078524947166443,0.011633769609034061,0.033960048109292984,0.03805502504110336,0.03347659856081009,0.05073719471693039,0.2367018163204193,0.25108397006988525,0.4023831784725189,0.40193474292755127,0.44530782103538513,0.27566275000572205,0.27169421315193176,-0.5977945923805237,-0.723352313041687,-0.5965102314949036,0.24136294424533844,-0.7698810696601868,0.4882931709289551,0.15763384103775024,0.19094473123550415,0.670568585395813,0.2585428059101105,0.5690253376960754,0.4969251751899719,0.05565197765827179,0.5182355046272278,-0.5001917481422424,-0.19872036576271057,-0.5551503300666809,-0.00503310514613986,-0.2746239900588989,-0.09683644026517868,0.07388108968734741,0.05292395129799843,0.02733469568192959,0.041341837495565414
