Group,CAP,ROI,TemplateValue
All Subjects,CAP-2,IFJ_l,-0.4768727719783783
All Subjects,CAP-3,IFJ_l,0.44501248002052307
All Subjects,CAP-4,IFJ_l,-0.6653940081596375
All Subjects,CAP-5,IFJ_l,0.536328911781311
All Subjects,CAP-6,IFJ_l,-0.309805303812027
All Subjects,CAP-7,IFJ_l,0.2513141632080078
All Subjects,CAP-1,IFJ_r,-0.2364475578069687
All Subjects,CAP-2,IFJ_r,-0.2371753305196762
All Subjects,CAP-3,IFJ_r,0.3470449447631836
All Subjects,CAP-4,IFJ_r,-0.4388526678085327
All Subjects,CAP-5,IFJ_r,0.3982917368412018
All Subjects,CAP-6,IFJ_r,-0.31535935401916504
All Subjects,CAP-7,IFJ_r,0.33130067586898804
All Subjects,CAP-1,A46_l,-0.3380626440048218
All Subjects,CAP-2,A46_l,-0.02540573664009571
All Subjects,CAP-3,A46_l,0.24877716600894928
All Subjects,CAP-4,A46_l,-0.4096239507198334
All Subjects,CAP-5,A46_l,0.38532739877700806
All Subjects,CAP-6,A46_l,-0.33454248309135437
All Subjects,CAP-7,A46_l,0.30629655718803406
All Subjects,CAP-1,A46_r,-0.5972443222999573
All Subjects,CAP-2,A46_r,0.16932052373886108
All Subjects,CAP-3,A46_r,0.15623842179775238
All Subjects,CAP-4,A46_r,-0.12165869027376175
All Subjects,CAP-5,A46_r,0.19004136323928833
All Subjects,CAP-6,A46_r,-0.3860127627849579
All Subjects,CAP-7,A46_r,0.4047742784023285
All Subjects,CAP-1,A9/46v_l,-0.24520106613636017
All Subjects,CAP-2,A9/46v_l,-0.5237188935279846
All Subjects,CAP-3,A9/46v_l,0.6857377290725708
All Subjects,CAP-4,A9/46v_l,0.08373700082302094
All Subjects,CAP-5,A9/46v_l,-0.14274828135967255
All Subjects,CAP-6,A9/46v_l,-0.2390630543231964
All Subjects,CAP-7,A9/46v_l,0.26893773674964905
All Subjects,CAP-1,A9/46v_r,-0.4756505787372589
All Subjects,CAP-2,A9/46v_r,-0.31775444746017456
All Subjects,CAP-3,A9/46v_r,0.5925171375274658
All Subjects,CAP-4,A9/46v_r,0.3169829547405243
All Subjects,CAP-5,A9/46v_r,-0.31649529933929443
All Subjects,CAP-6,A9/46v_r,-0.22414438426494598
All Subjects,CAP-7,A9/46v_r,0.3102397918701172
All Subjects,CAP-1,A8vl_l,-0.2100086510181427
All Subjects,CAP-2,A8vl_l,-0.195026695728302
All Subjects,CAP-3,A8vl_l,0.36261874437332153
All Subjects,CAP-4,A8vl_l,-0.9281141757965088
All Subjects,CAP-5,A8vl_l,0.8579254150390625
All Subjects,CAP-6,A8vl_l,-0.36773160099983215
All Subjects,CAP-7,A8vl_l,0.2669764459133148
All Subjects,CAP-1,A8vl_r,-0.4670666456222534
All Subjects,CAP-2,A8vl_r,-0.21859775483608246
All Subjects,CAP-3,A8vl_r,0.5281943082809448
All Subjects,CAP-4,A8vl_r,-0.6461548209190369
All Subjects,CAP-5,A8vl_r,0.6028945446014404
All Subjects,CAP-6,A8vl_r,-0.30484333634376526
All Subjects,CAP-7,A8vl_r,0.2875345051288605
All Subjects,CAP-1,A6vl_l,-0.0681057795882225
All Subjects,CAP-2,A6vl_l,-0.40230032801628113
All Subjects,CAP-3,A6vl_l,0.5078755021095276
All Subjects,CAP-4,A6vl_l,-0.4477987289428711
All Subjects,CAP-5,A6vl_l,0.3505571484565735
All Subjects,CAP-6,A6vl_l,-0.10204965621232986
All Subjects,CAP-7,A6vl_l,0.060575418174266815
All Subjects,CAP-1,A6vl_r,-0.4629368185997009
All Subjects,CAP-2,A6vl_r,-0.21298520267009735
All Subjects,CAP-3,A6vl_r,0.5522130131721497
All Subjects,CAP-4,A6vl_r,-0.1720699518918991
All Subjects,CAP-5,A6vl_r,0.15079103410243988
All Subjects,CAP-6,A6vl_r,0.0046611628495156765
All Subjects,CAP-7,A6vl_r,0.024698272347450256
All Subjects,CAP-1,A10l_l,-0.018562747165560722
All Subjects,CAP-2,A10l_l,-0.17346332967281342
All Subjects,CAP-3,A10l_l,0.1891886442899704
All Subjects,CAP-4,A10l_l,-0.7590820789337158
All Subjects,CAP-5,A10l_l,0.6836403608322144
All Subjects,CAP-6,A10l_l,-0.37185025215148926
All Subjects,CAP-7,A10l_l,0.29441121220588684
All Subjects,CAP-1,A10l_r,-0.3239302933216095
All Subjects,CAP-2,A10l_r,-0.02007550559937954
All Subjects,CAP-3,A10l_r,0.21845105290412903
All Subjects,CAP-4,A10l_r,-0.6556171774864197
All Subjects,CAP-5,A10l_r,0.6312906742095947
All Subjects,CAP-6,A10l_r,-0.3466251492500305
All Subjects,CAP-7,A10l_r,0.30830860137939453
All Subjects,CAP-1,A44d_l,0.17446579039096832
All Subjects,CAP-2,A44d_l,-0.5798680186271667
All Subjects,CAP-3,A44d_l,0.46994638442993164
All Subjects,CAP-4,A44d_l,-0.10709567368030548
All Subjects,CAP-5,A44d_l,-0.009731854312121868
All Subjects,CAP-6,A44d_l,-0.3291555345058441
All Subjects,CAP-7,A44d_l,0.3109167516231537
All Subjects,CAP-1,A44d_r,-0.08738353103399277
All Subjects,CAP-2,A44d_r,-0.34194380044937134
All Subjects,CAP-3,A44d_r,0.33974960446357727
All Subjects,CAP-4,A44d_r,0.08829416334629059
All Subjects,CAP-5,A44d_r,-0.12132906913757324
All Subjects,CAP-6,A44d_r,-0.20772840082645416
All Subjects,CAP-7,A44d_r,0.27387863397598267
All Subjects,CAP-1,IFS_l,0.17716453969478607
All Subjects,CAP-2,IFS_l,-0.5531856417655945
All Subjects,CAP-3,IFS_l,0.41600164771080017
All Subjects,CAP-4,IFS_l,-0.17846553027629852
All Subjects,CAP-5,IFS_l,0.05945822224020958
All Subjects,CAP-6,IFS_l,-0.3603041470050812
All Subjects,CAP-7,IFS_l,0.3636067807674408
All Subjects,CAP-1,IFS_r,-0.12093695998191833
All Subjects,CAP-2,IFS_r,-0.2941077649593353
All Subjects,CAP-3,IFS_r,0.3141535520553589
All Subjects,CAP-4,IFS_r,0.21933206915855408
All Subjects,CAP-5,IFS_r,-0.24913997948169708
All Subjects,CAP-6,IFS_r,-0.22434724867343903
All Subjects,CAP-7,IFS_r,0.3053663372993469
All Subjects,CAP-1,A45c_l,0.3508276343345642
All Subjects,CAP-2,A45c_l,-0.3703000545501709
All Subjects,CAP-3,A45c_l,0.09671211987733841
All Subjects,CAP-4,A45c_l,-0.5019780397415161
All Subjects,CAP-5,A45c_l,0.37487053871154785
All Subjects,CAP-6,A45c_l,-0.6182782649993896
All Subjects,CAP-7,A45c_l,0.5560808777809143
All Subjects,CAP-1,A45c_r,-0.08117768913507462
All Subjects,CAP-2,A45c_r,-0.23082657158374786
All Subjects,CAP-3,A45c_r,0.15633365511894226
All Subjects,CAP-4,A45c_r,-0.13581614196300507
All Subjects,CAP-5,A45c_r,0.11217790842056274
All Subjects,CAP-6,A45c_r,-0.6703733801841736
All Subjects,CAP-7,A45c_r,0.6951484084129333
All Subjects,CAP-1,A45r_l,0.2856779992580414
All Subjects,CAP-2,A45r_l,-0.4546508491039276
All Subjects,CAP-3,A45r_l,0.2256145477294922
All Subjects,CAP-4,A45r_l,-0.5564926266670227
All Subjects,CAP-5,A45r_l,0.4196344017982483
All Subjects,CAP-6,A45r_l,-0.553299605846405
All Subjects,CAP-7,A45r_l,0.5137415528297424
All Subjects,CAP-1,A45r_r,-0.06172167509794235
All Subjects,CAP-2,A45r_r,-0.21416157484054565
All Subjects,CAP-3,A45r_r,0.101019486784935
All Subjects,CAP-4,A45r_r,-0.05958441272377968
All Subjects,CAP-5,A45r_r,0.05471073091030121
All Subjects,CAP-6,A45r_r,-0.5932947397232056
All Subjects,CAP-7,A45r_r,0.648618221282959
All Subjects,CAP-1,A44op_l,0.03966408967971802
All Subjects,CAP-2,A44op_l,-0.20199379324913025
All Subjects,CAP-3,A44op_l,0.061999160796403885
All Subjects,CAP-4,A44op_l,0.3245820999145508
All Subjects,CAP-5,A44op_l,-0.32941195368766785
All Subjects,CAP-6,A44op_l,-0.707489550113678
All Subjects,CAP-7,A44op_l,0.7123691439628601
All Subjects,CAP-1,A44op_r,-0.27437594532966614
All Subjects,CAP-2,A44op_r,-0.03318611532449722
All Subjects,CAP-3,A44op_r,0.037928078323602676
All Subjects,CAP-4,A44op_r,0.6527749300003052
All Subjects,CAP-5,A44op_r,-0.5511198043823242
All Subjects,CAP-6,A44op_r,-0.6835384368896484
All Subjects,CAP-7,A44op_r,0.7380074262619019
