CAP_1,CAP_2,CAP_3,CAP_4,CAP_5,CAP_6,CAP_7
0.9967792930123611,0.9977763986271739,0.997964122753668,0.9998936844786221,0.9999547664347681,0.9980154434346752,0.9990958889084659
0.9988925124164736,0.9994981366225576,0.9995110121455661,0.9999428909311342,0.9999019220940291,0.9997756652545484,0.9997668348895029
0.9995787403499032,0.9990849338029734,0.9996784468285526,0.9999541670980038,0.9999634421074047,0.9998554491492435,0.9998815083556604
0.999445286929659,0.9991048937648593,0.9994021396233637,0.9998233552382273,0.9997882398115385,0.9996418933788316,0.9993856898691813
0.9994574643773828,0.996641910421674,0.9995046800016341,0.9998968978820965,0.9995259572206189,0.9998533452127923,0.9994362493351078
0.9992602340901275,0.9994594133493281,0.9989295435093978,0.9997630939003894,0.9997463980807666,0.9986677563563338,0.9989722392999165
0.9954704340562692,0.9980120824167676,0.9983135627524657,0.9997620289027289,0.9998220653039513,0.9965947113347529,0.9987809524451383
0.9980851741714909,0.9976049925624023,0.9992892332083366,0.9998928062888195,0.9998308506100277,0.9996786972974439,0.9996395034512437
0.9989176898075263,0.998735078593602,0.9995432838269991,0.9998064198811628,0.9997882530616726,0.9996458113807155,0.9992275974445484
0.9969171791029383,0.9980414198232809,0.9976349351211117,0.9999458741758724,0.9999153900842447,0.9978323355856389,0.9989744593097821
0.9990173032354173,0.9980181716707857,0.9995503335444131,0.9998636640896136,0.9998230125266545,0.9996543953420499,0.9996905932923992
0.9973852026410577,0.9995888145844127,0.9985576860496773,0.9999140660310897,0.9998932787389115,0.9987454463813199,0.9993309097353916
0.9994194745337885,0.9991340998920216,0.9980886916171626,0.9998856802651117,0.9998577722490511,0.9983986612404411,0.9997361457157721
0.9996118153330178,0.999071740409481,0.9992316755200482,0.9999423715128325,0.9999117956796335,0.9998061424542284,0.9997542939982366
0.9985467320629843,0.9994918557273911,0.9990934693117457,0.9996654794633217,0.999665862844073,0.9978648828399592,0.9988181877888158
0.9994085475009339,0.9976996004272715,0.9998466730856098,0.9998972743040659,0.9998640083345219,0.999814809441825,0.9998242845331793
0.9990052712984167,0.9985328468885816,0.9985767386696847,0.99988657447722,0.9997990606510456,0.9986277113506833,0.9997187971947238
0.9966297809836213,0.9966698384293935,0.9993971658734349,0.9999486497144149,0.9998819561433469,0.9995271811361931,0.9997415054685213
