CAP_Index,Mean_Correlation,Median_Correlation,Std_Correlation,95%_CI_Low,95%_CI_High
1,0.9972774628277989,0.9989387298140856,0.02288117831404025,0.9924281710535271,0.999765212974192
2,0.9977815867279037,0.9989610992472773,0.017349286017296794,0.995011248150299,0.9997586772409683
3,0.9988442809277204,0.999390336295104,0.0052445582056591875,0.9966708251227425,0.999817387170232
4,0.9998375917357705,0.9998874678297895,0.00048339556440546596,0.9996105678534267,0.9999575340564401
5,0.999832209371109,0.9998799528363398,0.0002949992560080107,0.9995224868222071,0.9999577675647163
6,0.9986114968792645,0.9994943752966068,0.011822613333316108,0.996305229141358,0.9999002657894521
7,0.9993601859160779,0.9996105498832327,0.0010161170752105272,0.9976000387096944,0.999893944827777
