Group,Analysis_Type,Imaging_Feature,Clinical_Target,N,Spearman_r,p_value,Metric_Group,p_FDR,Significant_FDR
All_PD,Cross-sectional,transition_probability_3.2,UPDRS-III(OFF),337,0.05836771558065827,0.2882305044507549,transition_probability,0.7532724866016656,No
All_PD,Cross-sectional,transition_probability_2.4,UPDRS-III(OFF),337,0.05834950832980031,0.2883811807899106,transition_probability,0.7532724866016656,No
All_PD,Cross-sectional,transition_probability_2.3,UPDRS-III(OFF),337,0.05790391175821539,0.29208524990676826,transition_probability,0.7532724866016656,No
All_PD,Cross-sectional,transition_probability_3.4,UPDRS-III(OFF),337,0.05396714070657513,0.32618831675386867,transition_probability,0.7967389134654812,No
All_PD,Cross-sectional,transition_probability_1.1,UPDRS-III(OFF),337,-0.049346148560743826,0.3693755644631586,transition_probability,0.7967389134654812,No
All_PD,Cross-sectional,transition_probability_5.1,UPDRS-III(OFF),337,-0.04766462752869831,0.3859310136007399,transition_probability,0.7967389134654812,No
All_PD,Cross-sectional,transition_probability_4.3,UPDRS-III(OFF),337,-0.046825390056337526,0.39435985256476086,transition_probability,0.7967389134654812,No
All_PD,Cross-sectional,transition_probability_4.2,UPDRS-III(OFF),337,-0.045030906431607544,0.4127507209988769,transition_probability,0.7967389134654812,No
All_PD,Cross-sectional,transition_probability_3.1,UPDRS-III(OFF),337,-0.04364655780491402,0.4272778845105387,transition_probability,0.7967389134654812,No
All_PD,Cross-sectional,transition_probability_6.4,UPDRS-III(OFF),337,0.04267313661290764,0.43766802419392753,transition_probability,0.7967389134654812,No
All_PD,Cross-sectional,transition_probability_1.4,UPDRS-III(OFF),337,-0.04254751037135193,0.43901940129730593,transition_probability,0.7967389134654812,No
All_PD,Cross-sectional,transition_probability_6.3,UPDRS-III(OFF),337,0.04025351174869628,0.4641122271707725,transition_probability,0.8121963975488519,No
All_PD,Cross-sectional,transition_probability_4.7,UPDRS-III(OFF),337,-0.03409600873030586,0.5352350897182949,transition_probability,0.9017501646730386,No
All_PD,Cross-sectional,transition_probability_6.7,UPDRS-III(OFF),337,0.031264257372477226,0.5696867757381487,transition_probability,0.9017501646730386,No
All_PD,Cross-sectional,transition_probability_2.1,UPDRS-III(OFF),337,-0.031198835092330332,0.5704950021400856,transition_probability,0.9017501646730386,No
All_PD,Cross-sectional,transition_probability_3.7,UPDRS-III(OFF),337,0.027343361257960903,0.6190577223032409,transition_probability,0.9415339375795274,No
All_PD,Cross-sectional,transition_probability_4.4,UPDRS-III(OFF),337,0.025010686670154186,0.64928395225853,transition_probability,0.9415339375795274,No
All_PD,Cross-sectional,transition_probability_5.2,UPDRS-III(OFF),337,0.021745420388633602,0.6925688790302356,transition_probability,0.9415339375795274,No
All_PD,Cross-sectional,transition_probability_1.6,UPDRS-III(OFF),337,-0.02162460086698406,0.6941909153618384,transition_probability,0.9415339375795274,No
All_PD,Cross-sectional,transition_probability_6.1,UPDRS-III(OFF),337,-0.018986417890774727,0.729945582084089,transition_probability,0.9415339375795274,No
All_PD,Cross-sectional,transition_probability_7.2,UPDRS-III(OFF),337,-0.01703616860176627,0.7567629457556847,transition_probability,0.9415339375795274,No
All_PD,Cross-sectional,transition_probability_7.3,UPDRS-III(OFF),337,0.016198887414119446,0.7683684189709076,transition_probability,0.9415339375795274,No
All_PD,Cross-sectional,transition_probability_1.7,UPDRS-III(OFF),337,-0.016051057457964472,0.7704229378091866,transition_probability,0.9415339375795274,No
All_PD,Cross-sectional,transition_probability_5.7,UPDRS-III(OFF),337,0.014770610608717918,0.7882840985054936,transition_probability,0.9415339375795274,No
All_PD,Cross-sectional,transition_probability_2.2,UPDRS-III(OFF),337,0.013189733618386901,0.8104888510453571,transition_probability,0.9415339375795274,No
All_PD,Cross-sectional,transition_probability_1.5,UPDRS-III(OFF),337,0.01288355724152791,0.8148075645488897,transition_probability,0.9415339375795274,No
All_PD,Cross-sectional,transition_probability_5.5,UPDRS-III(OFF),337,-0.010087271018537812,0.8544936549187895,transition_probability,0.9415339375795274,No
All_PD,Cross-sectional,transition_probability_2.6,UPDRS-III(OFF),337,0.006715292341781032,0.90283314964108,transition_probability,0.9415339375795274,No
All_PD,Cross-sectional,transition_probability_4.1,UPDRS-III(OFF),337,0.006445826128056809,0.9067140830037878,transition_probability,0.9415339375795274,No
All_PD,Cross-sectional,transition_probability_7.6,UPDRS-III(OFF),337,0.005626954889391232,0.9185209449006636,transition_probability,0.9415339375795274,No
All_PD,Cross-sectional,transition_probability_5.3,UPDRS-III(OFF),337,0.004343215940581817,0.9370655508447069,transition_probability,0.9415339375795274,No
All_PD,Cross-sectional,transition_probability_7.1,UPDRS-III(OFF),337,0.004310571946031068,0.9375376049645374,transition_probability,0.9415339375795274,No
All_PD,Cross-sectional,transition_probability_2.7,UPDRS-III(OFF),337,-0.0040342726489611055,0.9415339375795274,transition_probability,0.9415339375795274,No
All_PD,Longitudinal,Delta_counts_CAP-7,Delta_UPDRS,235,0.10673220824128542,0.10565953895155124,counts,0.5006804919753196,No
All_PD,Longitudinal,Delta_counts_CAP-3,Delta_UPDRS,235,0.08289639700389818,0.20939057640458733,counts,0.5006804919753196,No
All_PD,Longitudinal,Delta_counts_CAP-6,Delta_UPDRS,235,0.07512151472450375,0.25547057297638004,counts,0.5006804919753196,No
All_PD,Longitudinal,Delta_counts_CAP-5,Delta_UPDRS,235,-0.06077283327361419,0.3578306338893517,counts,0.5006804919753196,No
All_PD,Longitudinal,Delta_counts_CAP-2,Delta_UPDRS,235,-0.055591094972147544,0.4003599298328895,counts,0.5006804919753196,No
All_PD,Longitudinal,Delta_counts_CAP-4,Delta_UPDRS,235,-0.052268197206298515,0.42915470740741674,counts,0.5006804919753196,No
All_PD,Longitudinal,Delta_counts_CAP-1,Delta_UPDRS,235,-0.025499874336863567,0.6998486452746095,counts,0.6998486452746095,No
All_PD,Longitudinal,Delta_persistence_CAP-7,Delta_UPDRS,235,-0.11711421239469696,0.07565976562399918,persistence,0.5296183593679943,No
All_PD,Longitudinal,Delta_persistence_CAP-4,Delta_UPDRS,235,-0.0866812628652024,0.18926162748431524,persistence,0.6122781941172517,No
All_PD,Longitudinal,Delta_persistence_CAP-5,Delta_UPDRS,235,0.06471974937787954,0.32740901170026077,persistence,0.6122781941172517,No
All_PD,Longitudinal,Delta_persistence_CAP-1,Delta_UPDRS,235,0.0499795056633443,0.4496644582800021,persistence,0.6122781941172517,No
All_PD,Longitudinal,Delta_persistence_CAP-6,Delta_UPDRS,235,-0.047878214184227975,0.46897135308866533,persistence,0.6122781941172517,No
All_PD,Longitudinal,Delta_persistence_CAP-3,Delta_UPDRS,235,-0.042051958734561995,0.52480988067193,persistence,0.6122781941172517,No
All_PD,Longitudinal,Delta_persistence_CAP-2,Delta_UPDRS,235,0.021191421072584173,0.7486875030525291,persistence,0.7486875030525291,No
All_PD,Longitudinal,Delta_temporal_fraction_CAP-4,Delta_UPDRS,235,-0.08680548120922045,0.18862590071136748,temporal,0.9531750765517981,No
All_PD,Longitudinal,Delta_temporal_fraction_CAP-7,Delta_UPDRS,235,0.04970489518785376,0.4521618912284437,temporal,0.9531750765517981,No
All_PD,Longitudinal,Delta_temporal_fraction_CAP-3,Delta_UPDRS,235,0.027722414913393847,0.6751144736029164,temporal,0.9531750765517981,No
All_PD,Longitudinal,Delta_temporal_fraction_CAP-6,Delta_UPDRS,235,0.02595814340807505,0.6947216608383948,temporal,0.9531750765517981,No
All_PD,Longitudinal,Delta_temporal_fraction_CAP-2,Delta_UPDRS,235,-0.01895002997878384,0.774511406371692,temporal,0.9531750765517981,No
All_PD,Longitudinal,Delta_temporal_fraction_CAP-5,Delta_UPDRS,235,-0.004700525329001466,0.943354272074358,temporal,0.9531750765517981,No
All_PD,Longitudinal,Delta_temporal_fraction_CAP-1,Delta_UPDRS,235,-0.0038845549930922713,0.9531750765517981,temporal,0.9531750765517981,No
All_PD,Longitudinal,Delta_transition_frequency,Delta_UPDRS,235,0.005681916426994629,0.9315539604283241,transition_frequency,0.9315539604283241,No
All_PD,Longitudinal,Delta_transition_probability_2.5,Delta_UPDRS,235,-0.18230097545989857,0.00545214891575265,transition_probability,0.2671552968718799,No
All_PD,Longitudinal,Delta_transition_probability_6.2,Delta_UPDRS,235,-0.15689003983406166,0.01701498485413444,transition_probability,0.41686712892629385,No
All_PD,Longitudinal,Delta_transition_probability_6.7,Delta_UPDRS,235,0.13678044032577952,0.037766620703369495,transition_probability,0.47862550087570216,No
All_PD,Longitudinal,Delta_transition_probability_6.3,Delta_UPDRS,235,0.135870802737419,0.03907146945924099,transition_probability,0.47862550087570216,No
All_PD,Longitudinal,Delta_transition_probability_3.6,Delta_UPDRS,235,0.12285835016646074,0.06229023088887716,transition_probability,0.6104442627109962,No
All_PD,Longitudinal,Delta_transition_probability_3.1,Delta_UPDRS,235,-0.111833987850017,0.08991759039480599,transition_probability,0.6512658744846919,No
All_PD,Longitudinal,Delta_transition_probability_2.3,Delta_UPDRS,235,0.1060084436670842,0.10805880746394028,transition_probability,0.6512658744846919,No
All_PD,Longitudinal,Delta_transition_probability_5.4,Delta_UPDRS,235,0.1005765431015428,0.12745724965305746,transition_probability,0.6512658744846919,No
All_PD,Longitudinal,Delta_transition_probability_7.7,Delta_UPDRS,235,-0.10036260634330568,0.1282730364448084,transition_probability,0.6512658744846919,No
All_PD,Longitudinal,Delta_transition_probability_4.4,Delta_UPDRS,235,-0.09875427735311984,0.13453562331990576,transition_probability,0.6512658744846919,No
All_PD,Longitudinal,Delta_transition_probability_1.4,Delta_UPDRS,235,-0.09590515993944773,0.1462025432516655,transition_probability,0.6512658744846919,No
All_PD,Longitudinal,Delta_transition_probability_2.7,Delta_UPDRS,235,0.08774778774767515,0.18385423019307265,transition_probability,0.7507381066217134,No
All_PD,Longitudinal,Delta_transition_probability_7.1,Delta_UPDRS,235,0.07453780752182404,0.2591927035347042,transition_probability,0.9032673011915042,No
All_PD,Longitudinal,Delta_transition_probability_3.7,Delta_UPDRS,235,0.07199425297532946,0.27584677375846534,transition_probability,0.9032673011915042,No
All_PD,Longitudinal,Delta_transition_probability_4.6,Delta_UPDRS,235,0.07145203537125473,0.27948871127377356,transition_probability,0.9032673011915042,No
All_PD,Longitudinal,Delta_transition_probability_6.1,Delta_UPDRS,235,0.059292403511100496,0.3696829495386764,transition_probability,0.9032673011915042,No
All_PD,Longitudinal,Delta_transition_probability_3.4,Delta_UPDRS,235,-0.058214320915589875,0.3784647778892117,transition_probability,0.9032673011915042,No
All_PD,Longitudinal,Delta_transition_probability_7.6,Delta_UPDRS,235,0.055801360002976676,0.39857753265749457,transition_probability,0.9032673011915042,No
All_PD,Longitudinal,Delta_transition_probability_5.6,Delta_UPDRS,235,-0.05579238442305029,0.39865352068358295,transition_probability,0.9032673011915042,No
All_PD,Longitudinal,Delta_transition_probability_3.5,Delta_UPDRS,235,0.05067875966720889,0.4433403309411544,transition_probability,0.9032673011915042,No
All_PD,Longitudinal,Delta_transition_probability_2.6,Delta_UPDRS,235,0.045787588501150264,0.4886238638187955,transition_probability,0.9032673011915042,No
All_PD,Longitudinal,Delta_transition_probability_1.6,Delta_UPDRS,235,0.04573656593899826,0.48910894128581006,transition_probability,0.9032673011915042,No
All_PD,Longitudinal,Delta_transition_probability_4.7,Delta_UPDRS,235,0.04524141606778879,0.49382974426697696,transition_probability,0.9032673011915042,No
All_PD,Longitudinal,Delta_transition_probability_7.3,Delta_UPDRS,235,0.04425585099456623,0.5032978414348953,transition_probability,0.9032673011915042,No
All_PD,Longitudinal,Delta_transition_probability_3.3,Delta_UPDRS,235,-0.0425889080424356,0.5195259946838341,transition_probability,0.9032673011915042,No
All_PD,Longitudinal,Delta_transition_probability_7.4,Delta_UPDRS,235,-0.0402913092394935,0.5423253610550973,transition_probability,0.9032673011915042,No
All_PD,Longitudinal,Delta_transition_probability_5.5,Delta_UPDRS,235,0.03920711947696543,0.553253400358995,transition_probability,0.9032673011915042,No
All_PD,Longitudinal,Delta_transition_probability_3.2,Delta_UPDRS,235,-0.038365040623701295,0.5618144128938125,transition_probability,0.9032673011915042,No
All_PD,Longitudinal,Delta_transition_probability_1.1,Delta_UPDRS,235,0.03802936966763766,0.5652446620767312,transition_probability,0.9032673011915042,No
All_PD,Longitudinal,Delta_transition_probability_2.1,Delta_UPDRS,235,-0.037234858361722745,0.5734034524231285,transition_probability,0.9032673011915042,No
All_PD,Longitudinal,Delta_transition_probability_1.2,Delta_UPDRS,235,0.035938004566047746,0.5868386624482175,transition_probability,0.9032673011915042,No
All_PD,Longitudinal,Delta_transition_probability_7.2,Delta_UPDRS,235,0.03537546751899153,0.5927111686436255,transition_probability,0.9032673011915042,No
All_PD,Longitudinal,Delta_transition_probability_6.6,Delta_UPDRS,235,-0.03298185283542974,0.6179927618608618,transition_probability,0.9032673011915042,No
All_PD,Longitudinal,Delta_transition_probability_1.5,Delta_UPDRS,235,-0.0321621590882264,0.6267569028675744,transition_probability,0.9032673011915042,No
All_PD,Longitudinal,Delta_transition_probability_4.5,Delta_UPDRS,235,0.027561313393423232,0.676896055717777,transition_probability,0.924471053611069,No
All_PD,Longitudinal,Delta_transition_probability_1.7,Delta_UPDRS,235,-0.02661716906193589,0.6873729756586257,transition_probability,0.924471053611069,No
All_PD,Longitudinal,Delta_transition_probability_2.4,Delta_UPDRS,235,0.024329685696938556,0.7130017152604805,transition_probability,0.924471053611069,No
All_PD,Longitudinal,Delta_transition_probability_5.1,Delta_UPDRS,235,-0.023981080884294948,0.716936735453482,transition_probability,0.924471053611069,No
All_PD,Longitudinal,Delta_transition_probability_5.7,Delta_UPDRS,235,-0.02042948895096123,0.7574362503287699,transition_probability,0.9315607601766891,No
All_PD,Longitudinal,Delta_transition_probability_6.5,Delta_UPDRS,235,0.01776046235236306,0.7883202492519381,transition_probability,0.9315607601766891,No
All_PD,Longitudinal,Delta_transition_probability_4.1,Delta_UPDRS,235,0.016180858909074333,0.8067586708585849,transition_probability,0.9315607601766891,No
All_PD,Longitudinal,Delta_transition_probability_2.2,Delta_UPDRS,235,0.014851451229793611,0.8223601712512857,transition_probability,0.9315607601766891,No
All_PD,Longitudinal,Delta_transition_probability_5.2,Delta_UPDRS,235,-0.01147663884301569,0.8622668537252468,transition_probability,0.9315607601766891,No
All_PD,Longitudinal,Delta_transition_probability_5.3,Delta_UPDRS,235,-0.01133244973936075,0.8639804340783593,transition_probability,0.9315607601766891,No
All_PD,Longitudinal,Delta_transition_probability_7.5,Delta_UPDRS,235,0.010760316422123358,0.8707860033511902,transition_probability,0.9315607601766891,No
All_PD,Longitudinal,Delta_transition_probability_1.3,Delta_UPDRS,235,-0.01044620781980702,0.8745264279209735,transition_probability,0.9315607601766891,No
All_PD,Longitudinal,Delta_transition_probability_6.4,Delta_UPDRS,235,0.007781896891345491,0.9063570614317924,transition_probability,0.939491821146852,No
